Epoch[JDUT1] is 2457769.4377327663823962
Time[s],AccessOrNoAccess,Range[km]
6818.0,False,10011.111519685684
6819.0,False,10011.11226035219
6820.0,False,10011.113000890578
6821.0,False,10011.113741300069
6822.0,False,10011.114481579783
6823.0,False,10011.115221728895
6824.0,False,10011.115961746598
6825.0,False,10011.116701632043
6826.0,False,10011.117441384396
6827.0,False,10011.118181002854
6828.0,False,10011.118920486519
6829.0,False,10011.119659834632
6830.0,False,10011.120399046327
6831.0,False,10011.121138120767
6832.0,False,10011.121877057145
6833.0,False,10011.122615854616
6834.0,False,10011.123354512341
6835.0,False,10011.124093029532
6836.0,False,10011.124831405283
6837.0,False,10011.125569638829
6838.0,False,10011.126307729342
6839.0,False,10011.127045675938
6840.0,False,10011.127783477836
6841.0,False,10011.128521134196
6842.0,False,10011.129258644163
6843.0,False,10011.129996006946
6844.0,False,10011.130733221695
6845.0,False,10011.131470287572
6846.0,False,10011.132207203778
6847.0,False,10011.132943969456
6848.0,False,10011.133680583802
6849.0,False,10011.134417045992
6850.0,False,10011.135153355142
6851.0,False,10011.135889510499
6852.0,False,10011.13662551119
6853.0,False,10011.137361356385
6854.0,False,10011.138097045297
6855.0,False,10011.138832577066
6856.0,False,10011.139567950855
6857.0,False,10011.140303165881
6858.0,False,10011.14103822126
6859.0,False,10011.141773116226
6860.0,False,10011.142507849914
6861.0,False,10011.143242421502
6862.0,False,10011.143976830195
6863.0,False,10011.14471107512
6864.0,False,10011.145445155471
6865.0,False,10011.146179070447
6866.0,False,10011.146912819204
6867.0,False,10011.147646400903
6868.0,False,10011.148379814746
6869.0,False,10011.149113059873
6870.0,False,10011.149846135495
6871.0,False,10011.150579040788
6872.0,False,10011.151311774893
6873.0,False,10011.152044337037
6874.0,False,10011.152776726349
6875.0,False,10011.153508942021
6876.0,False,10011.154240983251
6877.0,False,10011.154972849194
6878.0,False,10011.155704539027
6879.0,False,10011.15643605196
6880.0,False,10011.157167387102
6881.0,False,10011.157898543694
6882.0,False,10011.158629520907
6883.0,False,10011.159360317888
6884.0,False,10011.160090933849
6885.0,False,10011.160821367941
6886.0,False,10011.161551619354
6887.0,False,10011.162281687279
6888.0,False,10011.163011570889
